December 2018:  Regularly Scheduled Flights Canceled 5% or More  ,,,,
,,,,
,,,,
Row Number,,,Origin,Destination
263,,,HOU,ATL
264,,,RDU,BNA
265,,,FLL,RDU
266,,,STL,RDU
267,,,RDU,BNA
268,,,DAL,RDU
269,,,MCO,RDU
270,,,GSP,ATL
271,,,CLT,BWI
272,,,RDU,DEN
273,,,MSY,RDU
274,,,TPA,SAT
275,,,SFO,BUR
276,,,RDU,BWI
277,,,MCO,RDU
278,,,BWI,RDU
279,,,ATL,RIC
280,,,RDU,MCO
281,,,ALB,MDW
282,,,MDW,LAS
283,,,RDU,FLL
284,,,MDW,RDU
285,,,DAL,RDU
286,,,DAL,HOU
287,,,SAT,DAL
288,,,ATL,BWI
289,,,DCA,MDW
290,,,MDW,CHS
291,,,DCA,MDW
292,,,ATL,DCA
293,,,MDW,OMA
294,,,CMH,BWI
295,,,CLE,MDW
296,,,CLT,BWI
297,,,MDW,CVG
298,,,MDW,CLT
299,,,BWI,CLT
300,,,CVG,MDW
301,,,RDU,DEN
302,,,MDW,RDU
303,,,ATL,GSP
304,,,MDW,MSY
305,,,GSP,ATL
306,,,DAL,LBB
307,,,MDW,TUS
308,,,OAK,SNA
309,,,RDU,DAL
310,,,BWI,RDU
311,,,ATL,RDU
312,,,RDU,MDW
313,,,RDU,STL
314,,,BWI,RDU
315,,,CLT,HOU
316,,,HOU,CLT
317,,,DAL,AUS
318,,,MDW,SJC
319,,,DAL,MDW
320,,,MDW,HOU
321,,,MDW,EWR
322,,,ATL,SAT
323,,,RIC,ATL
324,,,ATL,RIC
325,,,MSY,MDW
326,,,MDW,DCA
327,,,RDU,TPA
328,,,BWI,RDU
329,,,IND,ATL
330,,,ATL,IND
331,,,BWI,TPA
332,,,STL,ATL
333,,,HOU,CLT
334,,,FLL,RDU
335,,,MCI,RDU
336,,,RDU,MDW
337,,,LBB,DAL
338,,,LAS,MSY
339,,,MDW,RDU
340,,,RDU,STL
341,,,ATL,RDU
342,,,BNA,CLT
343,,,CLT,DAL
344,,,HOU,RDU
345,,,PBI,ATL
346,,,ATL,MCO
347,,,RDU,MCO
348,,,BNA,RDU
349,,,TPA,RDU
350,,,RDU,PHX
351,,,RDU,ATL
352,,,BWI,RDU
353,,,BWI,MDW
354,,,SFO,SAN
355,,,MCO,RDU
356,,,SFO,LAX
357,,,LAX,SFO
358,,,BWI,CLT
359,,,STL,ATL
360,,,ATL,TPA
361,,,PHX,RDU
362,,,RDU,BWI
363,,,BWI,RDU
364,,,ATL,RDU
365,,,RDU,MCI
366,,,CLT,BNA
367,,,MCO,BDL
368,,,SJU,MCO
369,,,DEN,RDU
370,,,FLL,ATL
371,,,EWR,STL
372,,,LGA,MDW
373,,,BWI,CLT
374,,,SAT,HOU
375,,,RDU,ATL
376,,,RDU,DAL
377,,,SNA,LAS
378,,,SAN,SFO
379,,,LAX,SFO
380,,,SAN,SFO
381,,,SFO,SAN
382,,,ATL,GSP
383,,,RDU,MDW
384,,,BNA,RDU
385,,,PVD,FLL
386,,,BNA,CLT
387,,,MDW,DEN
388,,,SMF,SNA
389,,,PIT,MDW
390,,,SDF,MDW
391,,,MDW,OAK
392,,,RDU,BNA
393,,,ATL,RIC
394,,,SFO,LAX
395,,,DAL,RDU
396,,,MDW,PIT
397,,,ATL,DAL
398,,,STL,MDW
399,,,MDW,LAX
400,,,BWI,CLT
401,,,CLT,MDW
402,,,MDW,BHM
403,,,RDU,MCO
404,,,MEM,MDW
405,,,BUR,OAK
406,,,MDW,BUR
407,,,RDU,STL
408,,,BNA,RDU
409,,,MCO,BNA
410,,,BNA,MCO
411,,,MDW,ATL
412,,,MDW,CLT
413,,,BNA,MCO
414,,,MCO,BWI
415,,,ONT,SJC
416,,,MCO,STL
417,,,DFW,OMA
418,,,OMA,DFW
419,,,DCA,CLT
420,,,SFO,SNA
421,,,EWR,PIT
422,,,MHK,DFW
423,,,DFW,BTR
424,,,SAF,DFW
425,,,ASE,PHX
426,,,LAX,SFO
427,,,BTR,DFW
428,,,SUN,LAX
429,,,SUN,SLC
430,,,DEN,ASE
431,,,TRI,CLT
432,,,PHX,DFW
433,,,PHX,ATL
434,,,LFT,IAH
435,,,HOU,DFW
436,,,DFW,HOU
437,,,FAR,MSP
438,,,MSP,FAR
439,,,MDW,EWR
440,,,RNO,SJC
441,,,BOS,BWI
442,,,SJC,SAN
443,,,SAN,SJC
444,,,DAL,DCA
445,,,HOU,MSY
446,,,SFO,LAX
447,,,TPA,PHL
448,,,DAL,MSY
449,,,PHX,ABQ
450,,,TUS,DFW
451,,,LAS,DFW
452,,,IAH,STL
453,,,MCI,DFW
454,,,OKC,DFW
455,,,DFW,OKC
456,,,UIN,CGI
457,,,SFO,LAX
458,,,HPN,DCA
459,,,DTW,ALB
460,,,ALB,DTW
461,,,PBI,DCA
462,,,IND,CLT
463,,,LAX,PDX
464,,,DEN,FAR
465,,,FAR,DEN
466,,,EWR,BUF
467,,,EWR,RIC
468,,,ALB,EWR
469,,,IAH,LFT
470,,,ORD,ROC
471,,,STL,IAH
472,,,DCA,EWR
473,,,HOU,DFW
474,,,DFW,HOU
475,,,ANC,DUT
476,,,CLT,CHO
477,,,LEX,CLT
478,,,SLC,SFO
479,,,FAR,ATL
480,,,LYH,CLT
481,,,DEN,SFO
482,,,HOU,FLL
483,,,DAL,HOU
484,,,LAS,ABQ
485,,,DAL,SLC
486,,,ABQ,LAX
487,,,LAS,DAL
488,,,DAL,STL
489,,,ATL,DAL
490,,,SMF,BUR
491,,,ATL,AUS
492,,,DCA,OMA
493,,,HOU,DCA
494,,,PHX,ABQ
495,,,SAN,PHX
496,,,DAL,SAN
497,,,DAL,BNA
498,,,SAN,OAK
499,,,STL,PHX
500,,,LIT,STL
501,,,AUS,ELP
502,,,RDU,TPA
503,,,DAL,MSY
504,,,MSY,DAL
505,,,DAL,LIT
506,,,TUL,DAL
507,,,DAL,ELP
508,,,DAL,PHX
509,,,ABQ,DAL
510,,,ELP,DAL
511,,,ABQ,DAL
512,,,DAL,TUL
513,,,LAS,LAX
514,,,ELP,DAL
515,,,DAL,AUS
516,,,FLL,DAL
517,,,DAL,STL
518,,,ELP,DAL
519,,,MCO,BWI
520,,,HOU,ABQ
521,,,MDW,BOS
522,,,LAX,LAS
523,,,ABQ,LAS
524,,,AUS,DAL
525,,,DAL,OKC
526,,,ABQ,PHX
527,,,ABQ,HOU
528,,,SMF,BUR
529,,,AUS,MCO
530,,,DAL,ELP
531,,,IND,LAS
532,,,DAL,IND
533,,,DAL,ABQ
534,,,LAS,ABQ
535,,,IAH,OKC
536,,,DFW,OKC
537,,,FAR,ORD
538,,,EGE,DFW
539,,,GSP,ORD
540,,,DFW,MHK
541,,,EWR,CVG
542,,,LFT,IAH
543,,,DFW,BTR
544,,,SUN,LAX
545,,,DFW,SAF
546,,,SUN,SFO
547,,,BTR,DFW
548,,,SFO,ASE
549,,,SUN,DEN
550,,,CLT,TRI
551,,,PHF,CLT
552,,,SJC,PDX
553,,,PGV,CLT
554,,,SUN,SLC
555,,,AEX,ATL
556,,,EWR,GSO
557,,,MFE,IAH
558,,,IAH,CRP
559,,,EWR,GSO
560,,,TYS,IAD
561,,,IND,MCO
562,,,CLT,GSO
563,,,HPN,CLT
564,,,SUN,SLC
565,,,FAR,MSP
566,,,MSP,FAR
567,,,MGM,CLT
568,,,CLT,PHF
569,,,EWR,MDW
570,,,OKC,DCA
571,,,HOU,DAL
572,,,OKC,DFW
573,,,HOU,DAL
574,,,SAN,SFO
575,,,LAX,SFO
576,,,EWR,RDU
577,,,DCA,HPN
578,,,RIC,LGA
579,,,LFT,ATL
580,,,DAY,DTW
581,,,MSP,FAR
582,,,FAR,MSP
583,,,DTW,DAY
584,,,SLC,DFW
585,,,RIC,CLT
586,,,PHX,TPA
587,,,OKC,DFW
588,,,RDU,MIA
589,,,DFW,OKC
590,,,CLT,RIC
591,,,ORD,CAK
592,,,IAD,PWM
593,,,IAD,CHA
594,,,BUF,EWR
595,,,ROC,ORD
596,,,ROC,ORD
597,,,IAH,BTR
598,,,ORD,CMH
599,,,CHA,ORD
600,,,PIE,USA
601,,,BWI,AVL
602,,,RDU,MSY
603,,,USA,PIE
604,,,FAR,MSP
605,,,MSP,FAR
606,,,SGF,CLT
607,,,RIC,LGA
608,,,SYR,CLT
609,,,DCA,CLT
610,,,DCA,RDU
611,,,CLT,DCA
612,,,MQT,DTW
613,,,GSP,ATL
614,,,DTW,MQT
615,,,PHL,CHO
616,,,PHL,BDL
617,,,CLT,BHM
618,,,CHO,PHL
619,,,TYS,CLT
620,,,PGV,CLT
621,,,BDL,PHL
622,,,CLT,MGM
623,,,ROA,PHL
624,,,BHM,CLT
625,,,CLT,TYS
626,,,SEA,PUW
627,,,SEA,ALW
628,,,PUW,SEA
629,,,MFR,SFO
630,,,SMF,LAX
631,,,OAK,LAX
632,,,LAX,SMF
633,,,PDX,SJC
634,,,ICT,DFW
635,,,RST,ORD
636,,,ORD,CAE
637,,,GCK,DFW
638,,,DFW,GCK
639,,,FLO,CLT
640,,,SUN,SLC
641,,,LFT,IAH
642,,,HOU,DAL
643,,,LGA,DFW
644,,,DFW,ICT
645,,,DFW,ORD
646,,,MSP,DFW
647,,,ICT,DFW
648,,,PHL,DFW
649,,,DFW,IAH
650,,,RDU,DFW
651,,,DFW,VPS
652,,,EWR,JAX
653,,,XNA,ORD
654,,,IAD,CAE
655,,,TUL,ORD
656,,,OMA,ORD
657,,,ORD,TUL
658,,,CAE,IAD
659,,,GRI,DFW
660,,,GRI,DFW
661,,,MOB,CLT
662,,,CLT,CHO
663,,,CLT,BTR
664,,,MFR,SFO
665,,,FLG,PHX
666,,,DFW,CRP
667,,,CLT,PGV
668,,,HTS,CLT
669,,,AMA,DFW
670,,,DFW,AMA
671,,,JAN,DFW
672,,,DFW,MCI
673,,,DFW,JAN
674,,,MFE,DFW
675,,,ORD,FAR
676,,,IAD,ROA
677,,,MGM,CLT
678,,,SHV,IAH
679,,,CLT,HTS
680,,,CLT,LGA
681,,,DFW,MCI
682,,,BNA,DFW
683,,,BUF,MIA
684,,,CLT,GSO
685,,,GSO,CLT
686,,,RIC,DFW
687,,,CLT,ORD
688,,,RNO,PHX
689,,,DFW,RSW
690,,,RSW,DFW
691,,,LAS,CLT
692,,,ORF,CLT
693,,,SMF,DFW
694,,,DFW,TPA
695,,,JAC,DFW
696,,,DFW,AUS
697,,,PHL,FLL
698,,,FLL,PHL
699,,,LAX,SFO
700,,,DEN,RAP
701,,,ORD,RDU
702,,,RDU,ORD
703,,,ISN,DEN
704,,,EWR,BGR
705,,,DTW,RDU
706,,,ORD,OMA
707,,,IAH,JAX
708,,,JAX,IAH
709,,,ORD,FSD
